Variable,Biomarker_name,Unit,Group,Subgroup
Acetate,Acetate,mmol/l,Ketone bodies,
Acetoacetate,Acetoacetate,mmol/l,Ketone bodies,
Acetone,Acetone,mmol/l,Ketone bodies,
Ala,Alanine,mmol/l,Amino acids,
Albumin,Albumin,g/l,Fluid balance,
Alkaline.Phosphatase,NA,NA,NA,NA
ALT,NA,NA,NA,NA
ApoA1,Apolipoprotein A1,g/l,Apolipoproteins,
ApoB,Apolipoprotein B,g/l,Apolipoproteins,
ApoB_by_ApoA1,Ratio of apolipoprotein B to apolipoprotein A1,ratio,Apolipoproteins,
APTT,NA,NA,NA,NA
AST,NA,NA,NA,NA
Billirubin,NA,NA,NA,NA
Platelets.Count,NA,NA,NA,NA
BMI,NA,NA,NA,NA
bOHbutyrate,3-Hydroxybutyrate,mmol/l,Ketone bodies,
Calcium,NA,NA,NA,NA
Cholines,Total cholines,mmol/l,Other lipids,
Citrate,Citrate,mmol/l,Glycolysis related metabolites,
Clinical_LDL_C,Clinical LDL cholesterol,mmol/l,Cholesterol,
Creatinine,Creatinine,Î¼mol/l,Fluid balance,
Clinical_Creatinine,NA,NA,NA,NA
CRP,NA,NA,NA,NA
CVD,NA,NA,NA,NA
Ddimer,NA,NA,NA,NA
DHA,Docosahexaenoic acid,mmol/l,Fatty acids,
DHA_pct,Ratio of docosahexaenoic acid to total fatty acids,%,Fatty acids,Fatty acid ratios
Diabetes,NA,NA,NA,NA
eGFR,NA,NA,NA,NA
GammaGT,NA,NA,NA,NA
Gln,Glutamine,mmol/l,Amino acids,
Glucose,Glucose,mmol/l,Glycolysis related metabolites,
Clinical_Glucose,NA,NA,NA,NA
Gly,Glycine,mmol/l,Amino acids,
GlycA,Glycoprotein acetyls,mmol/l,Inflammation,
GlycA_Alb,NA,NA,NA,NA
Glycerol,Glycerol,mmol/l,Glycolysis related metabolites,
HDL_C,HDL cholesterol,mmol/l,Cholesterol,
HDL_CE,Cholesteryl esters in HDL,mmol/l,Cholesteryl esters,
HDL_FC,Free cholesterol in HDL,mmol/l,Free cholesterol,
HDL_L,Total lipids in HDL,mmol/l,Total lipids,
HDL_P,Concentration of HDL particles,mmol/l,Lipoprotein particle concentrations,
HDL_PL,Phospholipids in HDL,mmol/l,Phospholipids,
HDL_size,Average diameter for HDL particles,nm,Lipoprotein particle sizes,
HDL_TG,Triglycerides in HDL,mmol/l,Triglycerides,
Hemoglobin,NA,NA,NA,NA
His,Histidine,mmol/l,Amino acids,
Hypertension,NA,NA,NA,NA
IDL_C,Cholesterol in IDL,mmol/l,Lipoprotein subclasses,IDL
IDL_C_pct,Cholesterol to total lipids ratio in IDL,%,Relative lipoprotein lipid concentrations,IDL ratios
IDL_CE,Cholesteryl esters in IDL,mmol/l,Lipoprotein subclasses,IDL
IDL_CE_pct,Cholesteryl esters to total lipids ratio in IDL,%,Relative lipoprotein lipid concentrations,IDL ratios
IDL_FC,Free cholesterol in IDL,mmol/l,Lipoprotein subclasses,IDL
IDL_FC_pct,Free cholesterol to total lipids ratio in IDL,%,Relative lipoprotein lipid concentrations,IDL ratios
IDL_L,Total lipids in IDL,mmol/l,Lipoprotein subclasses,IDL
IDL_P,Concentration of IDL particles,mmol/l,Lipoprotein subclasses,IDL
IDL_PL,Phospholipids in IDL,mmol/l,Lipoprotein subclasses,IDL
IDL_PL_pct,Phospholipids to total lipids ratio in IDL,%,Relative lipoprotein lipid concentrations,IDL ratios
IDL_TG,Triglycerides in IDL,mmol/l,Lipoprotein subclasses,IDL
IDL_TG_pct,Triglycerides to total lipids ratio in IDL,%,Relative lipoprotein lipid concentrations,IDL ratios
Ile,Isoleucine,mmol/l,Amino acids,Branched-chain amino acids
InfectiousDiseaseScore,NA,NA,NA,NA
Potassium,NA,NA,NA,NA
L_HDL_C,Cholesterol in large HDL,mmol/l,Lipoprotein subclasses,Large HDL
L_HDL_C_pct,Cholesterol to total lipids ratio in large HDL,%,Relative lipoprotein lipid concentrations,Large HDL ratios
L_HDL_CE,Cholesteryl esters in large HDL,mmol/l,Lipoprotein subclasses,Large HDL
L_HDL_CE_pct,Cholesteryl esters to total lipids ratio in large HDL,%,Relative lipoprotein lipid concentrations,Large HDL ratios
L_HDL_FC,Free cholesterol in large HDL,mmol/l,Lipoprotein subclasses,Large HDL
L_HDL_FC_pct,Free cholesterol to total lipids ratio in large HDL,%,Relative lipoprotein lipid concentrations,Large HDL ratios
L_HDL_L,Total lipids in large HDL,mmol/l,Lipoprotein subclasses,Large HDL
L_HDL_P,Concentration of large HDL particles,mmol/l,Lipoprotein subclasses,Large HDL
L_HDL_PL,Phospholipids in large HDL,mmol/l,Lipoprotein subclasses,Large HDL
L_HDL_PL_pct,Phospholipids to total lipids ratio in large HDL,%,Relative lipoprotein lipid concentrations,Large HDL ratios
L_HDL_TG,Triglycerides in large HDL,mmol/l,Lipoprotein subclasses,Large HDL
L_HDL_TG_pct,Triglycerides to total lipids ratio in large HDL,%,Relative lipoprotein lipid concentrations,Large HDL ratios
L_LDL_C,Cholesterol in large LDL,mmol/l,Lipoprotein subclasses,Large LDL
L_LDL_C_pct,Cholesterol to total lipids ratio in large LDL,%,Relative lipoprotein lipid concentrations,Large LDL ratios
L_LDL_CE,Cholesteryl esters in large LDL,mmol/l,Lipoprotein subclasses,Large LDL
L_LDL_CE_pct,Cholesteryl esters to total lipids ratio in large LDL,%,Relative lipoprotein lipid concentrations,Large LDL ratios
L_LDL_FC,Free cholesterol in large LDL,mmol/l,Lipoprotein subclasses,Large LDL
L_LDL_FC_pct,Free cholesterol to total lipids ratio in large LDL,%,Relative lipoprotein lipid concentrations,Large LDL ratios
L_LDL_L,Total lipids in large LDL,mmol/l,Lipoprotein subclasses,Large LDL
L_LDL_P,Concentration of large LDL particles,mmol/l,Lipoprotein subclasses,Large LDL
L_LDL_PL,Phospholipids in large LDL,mmol/l,Lipoprotein subclasses,Large LDL
L_LDL_PL_pct,Phospholipids to total lipids ratio in large LDL,%,Relative lipoprotein lipid concentrations,Large LDL ratios
L_LDL_TG,Triglycerides in large LDL,mmol/l,Lipoprotein subclasses,Large LDL
L_LDL_TG_pct,Triglycerides to total lipids ratio in large LDL,%,Relative lipoprotein lipid concentrations,Large LDL ratios
L_VLDL_C,Cholesterol in large VLDL,mmol/l,Lipoprotein subclasses,Large VLDL
L_VLDL_C_pct,Cholesterol to total lipids ratio in large VLDL,%,Relative lipoprotein lipid concentrations,Large VLDL ratios
L_VLDL_CE,Cholesteryl esters in large VLDL,mmol/l,Lipoprotein subclasses,Large VLDL
L_VLDL_CE_pct,Cholesteryl esters to total lipids ratio in large VLDL,%,Relative lipoprotein lipid concentrations,Large VLDL ratios
L_VLDL_FC,Free cholesterol in large VLDL,mmol/l,Lipoprotein subclasses,Large VLDL
L_VLDL_FC_pct,Free cholesterol to total lipids ratio in large VLDL,%,Relative lipoprotein lipid concentrations,Large VLDL ratios
L_VLDL_L,Total lipids in large VLDL,mmol/l,Lipoprotein subclasses,Large VLDL
L_VLDL_P,Concentration of large VLDL particles,mmol/l,Lipoprotein subclasses,Large VLDL
L_VLDL_PL,Phospholipids in large VLDL,mmol/l,Lipoprotein subclasses,Large VLDL
L_VLDL_PL_pct,Phospholipids to total lipids ratio in large VLDL,%,Relative lipoprotein lipid concentrations,Large VLDL ratios
L_VLDL_TG,Triglycerides in large VLDL,mmol/l,Lipoprotein subclasses,Large VLDL
L_VLDL_TG_pct,Triglycerides to total lipids ratio in large VLDL,%,Relative lipoprotein lipid concentrations,Large VLDL ratios
LA,Linoleic acid,mmol/l,Fatty acids,
LA_pct,Ratio of linoleic acid to total fatty acids,%,Fatty acids,Fatty acid ratios
Lactate,Lactate,mmol/l,Glycolysis related metabolites,
LDL_C,LDL cholesterol,mmol/l,Cholesterol,
LDL_CE,Cholesteryl esters in LDL,mmol/l,Cholesteryl esters,
LDL_FC,Free cholesterol in LDL,mmol/l,Free cholesterol,
LDL_L,Total lipids in LDL,mmol/l,Total lipids,
LDL_P,Concentration of LDL particles,mmol/l,Lipoprotein particle concentrations,
LDL_PL,Phospholipids in LDL,mmol/l,Phospholipids,
LDL_size,Average diameter for LDL particles,nm,Lipoprotein particle sizes,
LDL_TG,Triglycerides in LDL,mmol/l,Triglycerides,
Leu,Leucine,mmol/l,Amino acids,Branched-chain amino acids
Age,NA,NA,NA,NA
M_HDL_C,Cholesterol in medium HDL,mmol/l,Lipoprotein subclasses,Medium HDL
M_HDL_C_pct,Cholesterol to total lipids ratio in medium HDL,%,Relative lipoprotein lipid concentrations,Medium HDL ratios
M_HDL_CE,Cholesteryl esters in medium HDL,mmol/l,Lipoprotein subclasses,Medium HDL
M_HDL_CE_pct,Cholesteryl esters to total lipids ratio in medium HDL,%,Relative lipoprotein lipid concentrations,Medium HDL ratios
M_HDL_FC,Free cholesterol in medium HDL,mmol/l,Lipoprotein subclasses,Medium HDL
M_HDL_FC_pct,Free cholesterol to total lipids ratio in medium HDL,%,Relative lipoprotein lipid concentrations,Medium HDL ratios
M_HDL_L,Total lipids in medium HDL,mmol/l,Lipoprotein subclasses,Medium HDL
M_HDL_P,Concentration of medium HDL particles,mmol/l,Lipoprotein subclasses,Medium HDL
M_HDL_PL,Phospholipids in medium HDL,mmol/l,Lipoprotein subclasses,Medium HDL
M_HDL_PL_pct,Phospholipids to total lipids ratio in medium HDL,%,Relative lipoprotein lipid concentrations,Medium HDL ratios
M_HDL_TG,Triglycerides in medium HDL,mmol/l,Lipoprotein subclasses,Medium HDL
M_HDL_TG_pct,Triglycerides to total lipids ratio in medium HDL,%,Relative lipoprotein lipid concentrations,Medium HDL ratios
M_LDL_C,Cholesterol in medium LDL,mmol/l,Lipoprotein subclasses,Medium LDL
M_LDL_C_pct,Cholesterol to total lipids ratio in medium LDL,%,Relative lipoprotein lipid concentrations,Medium LDL ratios
M_LDL_CE,Cholesteryl esters in medium LDL,mmol/l,Lipoprotein subclasses,Medium LDL
M_LDL_CE_pct,Cholesteryl esters to total lipids ratio in medium LDL,%,Relative lipoprotein lipid concentrations,Medium LDL ratios
M_LDL_FC,Free cholesterol in medium LDL,mmol/l,Lipoprotein subclasses,Medium LDL
M_LDL_FC_pct,Free cholesterol to total lipids ratio in medium LDL,%,Relative lipoprotein lipid concentrations,Medium LDL ratios
M_LDL_L,Total lipids in medium LDL,mmol/l,Lipoprotein subclasses,Medium LDL
M_LDL_P,Concentration of medium LDL particles,mmol/l,Lipoprotein subclasses,Medium LDL
M_LDL_PL,Phospholipids in medium LDL,mmol/l,Lipoprotein subclasses,Medium LDL
M_LDL_PL_pct,Phospholipids to total lipids ratio in medium LDL,%,Relative lipoprotein lipid concentrations,Medium LDL ratios
M_LDL_TG,Triglycerides in medium LDL,mmol/l,Lipoprotein subclasses,Medium LDL
M_LDL_TG_pct,Triglycerides to total lipids ratio in medium LDL,%,Relative lipoprotein lipid concentrations,Medium LDL ratios
M_VLDL_C,Cholesterol in medium VLDL,mmol/l,Lipoprotein subclasses,Medium VLDL
M_VLDL_C_pct,Cholesterol to total lipids ratio in medium VLDL,%,Relative lipoprotein lipid concentrations,Medium VLDL ratios
M_VLDL_CE,Cholesteryl esters in medium VLDL,mmol/l,Lipoprotein subclasses,Medium VLDL
M_VLDL_CE_pct,Cholesteryl esters to total lipids ratio in medium VLDL,%,Relative lipoprotein lipid concentrations,Medium VLDL ratios
M_VLDL_FC,Free cholesterol in medium VLDL,mmol/l,Lipoprotein subclasses,Medium VLDL
M_VLDL_FC_pct,Free cholesterol to total lipids ratio in medium VLDL,%,Relative lipoprotein lipid concentrations,Medium VLDL ratios
M_VLDL_L,Total lipids in medium VLDL,mmol/l,Lipoprotein subclasses,Medium VLDL
M_VLDL_P,Concentration of medium VLDL particles,mmol/l,Lipoprotein subclasses,Medium VLDL
M_VLDL_PL,Phospholipids in medium VLDL,mmol/l,Lipoprotein subclasses,Medium VLDL
M_VLDL_PL_pct,Phospholipids to total lipids ratio in medium VLDL,%,Relative lipoprotein lipid concentrations,Medium VLDL ratios
M_VLDL_TG,Triglycerides in medium VLDL,mmol/l,Lipoprotein subclasses,Medium VLDL
M_VLDL_TG_pct,Triglycerides to total lipids ratio in medium VLDL,%,Relative lipoprotein lipid concentrations,Medium VLDL ratios
MUFA,Monounsaturated fatty acids,mmol/l,Fatty acids,
MUFA_pct,Ratio of monounsaturated fatty acids to total fatty acids,%,Fatty acids,Fatty acid ratios
Sodium,NA,NA,NA,NA
non_HDL_C,Total cholesterol minus HDL-C,mmol/l,Cholesterol,
Omega_3,Omega-3 fatty acids,mmol/l,Fatty acids,
Omega_3_pct,Ratio of omega-3 fatty acids to total fatty acids,%,Fatty acids,Fatty acid ratios
Omega_6,Omega-6 fatty acids,mmol/l,Fatty acids,
Omega_6_by_Omega_3,Ratio of omega-6 fatty acids to omega-3 fatty acids,ratio,Fatty acids,Fatty acid ratios
Omega_6_pct,Ratio of omega-6 fatty acids to total fatty acids,%,Fatty acids,Fatty acid ratios
Phe,Phenylalanine,mmol/l,Amino acids,Aromatic amino acids
Phosphatidylc,Phosphatidylcholines,mmol/l,Other lipids,
Phosphoglyc,Phosphoglycerides,mmol/l,Other lipids,
PUFA,Polyunsaturated fatty acids,mmol/l,Fatty acids,
PUFA_by_MUFA,Ratio of polyunsaturated fatty acids to monounsaturated fatty acids,ratio,Fatty acids,Fatty acid ratios
PUFA_pct,Ratio of polyunsaturated fatty acids to total fatty acids,%,Fatty acids,Fatty acid ratios
Pyruvate,Pyruvate,mmol/l,Glycolysis related metabolites,
Remnant_C,"Remnant cholesterol (non-HDL, non-LDL -cholesterol)",mmol/l,Cholesterol,
RespiratoryDisease,NA,NA,NA,NA
S_HDL_C,Cholesterol in small HDL,mmol/l,Lipoprotein subclasses,Small HDL
S_HDL_C_pct,Cholesterol to total lipids ratio in small HDL,%,Relative lipoprotein lipid concentrations,Small HDL ratios
S_HDL_CE,Cholesteryl esters in small HDL,mmol/l,Lipoprotein subclasses,Small HDL
S_HDL_CE_pct,Cholesteryl esters to total lipids ratio in small HDL,%,Relative lipoprotein lipid concentrations,Small HDL ratios
S_HDL_FC,Free cholesterol in small HDL,mmol/l,Lipoprotein subclasses,Small HDL
S_HDL_FC_pct,Free cholesterol to total lipids ratio in small HDL,%,Relative lipoprotein lipid concentrations,Small HDL ratios
S_HDL_L,Total lipids in small HDL,mmol/l,Lipoprotein subclasses,Small HDL
S_HDL_P,Concentration of small HDL particles,mmol/l,Lipoprotein subclasses,Small HDL
S_HDL_PL,Phospholipids in small HDL,mmol/l,Lipoprotein subclasses,Small HDL
S_HDL_PL_pct,Phospholipids to total lipids ratio in small HDL,%,Relative lipoprotein lipid concentrations,Small HDL ratios
S_HDL_TG,Triglycerides in small HDL,mmol/l,Lipoprotein subclasses,Small HDL
S_HDL_TG_pct,Triglycerides to total lipids ratio in small HDL,%,Relative lipoprotein lipid concentrations,Small HDL ratios
S_LDL_C,Cholesterol in small LDL,mmol/l,Lipoprotein subclasses,Small LDL
S_LDL_C_pct,Cholesterol to total lipids ratio in small LDL,%,Relative lipoprotein lipid concentrations,Small LDL ratios
S_LDL_CE,Cholesteryl esters in small LDL,mmol/l,Lipoprotein subclasses,Small LDL
S_LDL_CE_pct,Cholesteryl esters to total lipids ratio in small LDL,%,Relative lipoprotein lipid concentrations,Small LDL ratios
S_LDL_FC,Free cholesterol in small LDL,mmol/l,Lipoprotein subclasses,Small LDL
S_LDL_FC_pct,Free cholesterol to total lipids ratio in small LDL,%,Relative lipoprotein lipid concentrations,Small LDL ratios
S_LDL_L,Total lipids in small LDL,mmol/l,Lipoprotein subclasses,Small LDL
S_LDL_P,Concentration of small LDL particles,mmol/l,Lipoprotein subclasses,Small LDL
S_LDL_PL,Phospholipids in small LDL,mmol/l,Lipoprotein subclasses,Small LDL
S_LDL_PL_pct,Phospholipids to total lipids ratio in small LDL,%,Relative lipoprotein lipid concentrations,Small LDL ratios
S_LDL_TG,Triglycerides in small LDL,mmol/l,Lipoprotein subclasses,Small LDL
S_LDL_TG_pct,Triglycerides to total lipids ratio in small LDL,%,Relative lipoprotein lipid concentrations,Small LDL ratios
S_VLDL_C,Cholesterol in small VLDL,mmol/l,Lipoprotein subclasses,Small VLDL
S_VLDL_C_pct,Cholesterol to total lipids ratio in small VLDL,%,Relative lipoprotein lipid concentrations,Small VLDL ratios
S_VLDL_CE,Cholesteryl esters in small VLDL,mmol/l,Lipoprotein subclasses,Small VLDL
S_VLDL_CE_pct,Cholesteryl esters to total lipids ratio in small VLDL,%,Relative lipoprotein lipid concentrations,Small VLDL ratios
S_VLDL_FC,Free cholesterol in small VLDL,mmol/l,Lipoprotein subclasses,Small VLDL
S_VLDL_FC_pct,Free cholesterol to total lipids ratio in small VLDL,%,Relative lipoprotein lipid concentrations,Small VLDL ratios
S_VLDL_L,Total lipids in small VLDL,mmol/l,Lipoprotein subclasses,Small VLDL
S_VLDL_P,Concentration of small VLDL particles,mmol/l,Lipoprotein subclasses,Small VLDL
S_VLDL_PL,Phospholipids in small VLDL,mmol/l,Lipoprotein subclasses,Small VLDL
S_VLDL_PL_pct,Phospholipids to total lipids ratio in small VLDL,%,Relative lipoprotein lipid concentrations,Small VLDL ratios
S_VLDL_TG,Triglycerides in small VLDL,mmol/l,Lipoprotein subclasses,Small VLDL
S_VLDL_TG_pct,Triglycerides to total lipids ratio in small VLDL,%,Relative lipoprotein lipid concentrations,Small VLDL ratios
O2.saturation,NA,NA,NA,NA
Sex,NA,NA,NA,NA
SFA,Saturated fatty acids,mmol/l,Fatty acids,
SFA_pct,Ratio of saturated fatty acids to total fatty acids,%,Fatty acids,Fatty acid ratios
Sphingomyelins,Sphingomyelins,mmol/l,Other lipids,
TG_by_PG,Ratio of triglycerides to phosphoglycerides,ratio,Other lipids,
Total_BCAA,Total concentration of branched-chain amino acids (leucine + isoleucine + valine),mmol/l,Amino acids,Branched-chain amino acids
Total_C,Total cholesterol,mmol/l,Cholesterol,
Total_CE,Total esterified cholesterol,mmol/l,Cholesteryl esters,
Total_FA,Total fatty acids,mmol/l,Fatty acids,
Total_FC,Total free cholesterol,mmol/l,Free cholesterol,
Total_L,Total lipids in lipoprotein particles,mmol/l,Total lipids,
Total_P,Total concentration of lipoprotein particles,mmol/l,Lipoprotein particle concentrations,
Total_PL,Total phospholipids in lipoprotein particles,mmol/l,Phospholipids,
Total_TG,Total triglycerides,mmol/l,Triglycerides,
Troponin,NA,NA,NA,NA
Tyr,Tyrosine,mmol/l,Amino acids,Aromatic amino acids
Unsaturation,Degree of unsaturation,degree,Fatty acids,
Val,Valine,mmol/l,Amino acids,Branched-chain amino acids
VLDL_C,VLDL cholesterol,mmol/l,Cholesterol,
VLDL_CE,Cholesteryl esters in VLDL,mmol/l,Cholesteryl esters,
VLDL_FC,Free cholesterol in VLDL,mmol/l,Free cholesterol,
VLDL_L,Total lipids in VLDL,mmol/l,Total lipids,
VLDL_P,Concentration of VLDL particles,mmol/l,Lipoprotein particle concentrations,
VLDL_PL,Phospholipids in VLDL,mmol/l,Phospholipids,
VLDL_size,Average diameter for VLDL particles,nm,Lipoprotein particle sizes,
VLDL_TG,Triglycerides in VLDL,mmol/l,Triglycerides,
Eosinophil.Count,NA,NA,NA,NA
Lymphocyte.Count,NA,NA,NA,NA
Neutrophil.Count,NA,NA,NA,NA
WBC,NA,NA,NA,NA
XL_HDL_C,Cholesterol in very large HDL,mmol/l,Lipoprotein subclasses,Very large HDL
XL_HDL_C_pct,Cholesterol to total lipids ratio in very large HDL,%,Relative lipoprotein lipid concentrations,Very large HDL ratios
XL_HDL_CE,Cholesteryl esters in very large HDL,mmol/l,Lipoprotein subclasses,Very large HDL
XL_HDL_CE_pct,Cholesteryl esters to total lipids ratio in very large HDL,%,Relative lipoprotein lipid concentrations,Very large HDL ratios
XL_HDL_FC,Free cholesterol in very large HDL,mmol/l,Lipoprotein subclasses,Very large HDL
XL_HDL_FC_pct,Free cholesterol to total lipids ratio in very large HDL,%,Relative lipoprotein lipid concentrations,Very large HDL ratios
XL_HDL_L,Total lipids in very large HDL,mmol/l,Lipoprotein subclasses,Very large HDL
XL_HDL_P,Concentration of very large HDL particles,mmol/l,Lipoprotein subclasses,Very large HDL
XL_HDL_PL,Phospholipids in very large HDL,mmol/l,Lipoprotein subclasses,Very large HDL
XL_HDL_PL_pct,Phospholipids to total lipids ratio in very large HDL,%,Relative lipoprotein lipid concentrations,Very large HDL ratios
XL_HDL_TG,Triglycerides in very large HDL,mmol/l,Lipoprotein subclasses,Very large HDL
XL_HDL_TG_pct,Triglycerides to total lipids ratio in very large HDL,%,Relative lipoprotein lipid concentrations,Very large HDL ratios
XL_VLDL_C,Cholesterol in very large VLDL,mmol/l,Lipoprotein subclasses,Very large VLDL
XL_VLDL_C_pct,Cholesterol to total lipids ratio in very large VLDL,%,Relative lipoprotein lipid concentrations,Very large VLDL ratios
XL_VLDL_CE,Cholesteryl esters in very large VLDL,mmol/l,Lipoprotein subclasses,Very large VLDL
XL_VLDL_CE_pct,Cholesteryl esters to total lipids ratio in very large VLDL,%,Relative lipoprotein lipid concentrations,Very large VLDL ratios
XL_VLDL_FC,Free cholesterol in very large VLDL,mmol/l,Lipoprotein subclasses,Very large VLDL
XL_VLDL_FC_pct,Free cholesterol to total lipids ratio in very large VLDL,%,Relative lipoprotein lipid concentrations,Very large VLDL ratios
XL_VLDL_L,Total lipids in very large VLDL,mmol/l,Lipoprotein subclasses,Very large VLDL
XL_VLDL_P,Concentration of very large VLDL particles,mmol/l,Lipoprotein subclasses,Very large VLDL
XL_VLDL_PL,Phospholipids in very large VLDL,mmol/l,Lipoprotein subclasses,Very large VLDL
XL_VLDL_PL_pct,Phospholipids to total lipids ratio in very large VLDL,%,Relative lipoprotein lipid concentrations,Very large VLDL ratios
XL_VLDL_TG,Triglycerides in very large VLDL,mmol/l,Lipoprotein subclasses,Very large VLDL
XL_VLDL_TG_pct,Triglycerides to total lipids ratio in very large VLDL,%,Relative lipoprotein lipid concentrations,Very large VLDL ratios
XS_VLDL_C,Cholesterol in very small VLDL,mmol/l,Lipoprotein subclasses,Very small VLDL
XS_VLDL_C_pct,Cholesterol to total lipids ratio in very small VLDL,%,Relative lipoprotein lipid concentrations,Very small VLDL ratios
XS_VLDL_CE,Cholesteryl esters in very small VLDL,mmol/l,Lipoprotein subclasses,Very small VLDL
XS_VLDL_CE_pct,Cholesteryl esters to total lipids ratio in very small VLDL,%,Relative lipoprotein lipid concentrations,Very small VLDL ratios
XS_VLDL_FC,Free cholesterol in very small VLDL,mmol/l,Lipoprotein subclasses,Very small VLDL
XS_VLDL_FC_pct,Free cholesterol to total lipids ratio in very small VLDL,%,Relative lipoprotein lipid concentrations,Very small VLDL ratios
XS_VLDL_L,Total lipids in very small VLDL,mmol/l,Lipoprotein subclasses,Very small VLDL
XS_VLDL_P,Concentration of very small VLDL particles,mmol/l,Lipoprotein subclasses,Very small VLDL
XS_VLDL_PL,Phospholipids in very small VLDL,mmol/l,Lipoprotein subclasses,Very small VLDL
XS_VLDL_PL_pct,Phospholipids to total lipids ratio in very small VLDL,%,Relative lipoprotein lipid concentrations,Very small VLDL ratios
XS_VLDL_TG,Triglycerides in very small VLDL,mmol/l,Lipoprotein subclasses,Very small VLDL
XS_VLDL_TG_pct,Triglycerides to total lipids ratio in very small VLDL,%,Relative lipoprotein lipid concentrations,Very small VLDL ratios
XXL_VLDL_C,Cholesterol in chylomicrons and extremely large VLDL,mmol/l,Lipoprotein subclasses,Chylomicrons and extremely large VLDL
XXL_VLDL_C_pct,Cholesterol to total lipids ratio in chylomicrons and extremely large VLDL,%,Relative lipoprotein lipid concentrations,Chylomicrons and extremely large VLDL ratios
XXL_VLDL_CE,Cholesteryl esters in chylomicrons and extremely large VLDL,mmol/l,Lipoprotein subclasses,Chylomicrons and extremely large VLDL
XXL_VLDL_CE_pct,Cholesteryl esters to total lipids ratio in chylomicrons and extremely large VLDL,%,Relative lipoprotein lipid concentrations,Chylomicrons and extremely large VLDL ratios
XXL_VLDL_FC,Free cholesterol in chylomicrons and extremely large VLDL,mmol/l,Lipoprotein subclasses,Chylomicrons and extremely large VLDL
XXL_VLDL_FC_pct,Free cholesterol to total lipids ratio in chylomicrons and extremely large VLDL,%,Relative lipoprotein lipid concentrations,Chylomicrons and extremely large VLDL ratios
XXL_VLDL_L,Total lipids in chylomicrons and extremely large VLDL,mmol/l,Lipoprotein subclasses,Chylomicrons and extremely large VLDL
XXL_VLDL_P,Concentration of chylomicrons and extremely large VLDL particles,mmol/l,Lipoprotein subclasses,Chylomicrons and extremely large VLDL
XXL_VLDL_PL,Phospholipids in chylomicrons and extremely large VLDL,mmol/l,Lipoprotein subclasses,Chylomicrons and extremely large VLDL
XXL_VLDL_PL_pct,Phospholipids to total lipids ratio in chylomicrons and extremely large VLDL,%,Relative lipoprotein lipid concentrations,Chylomicrons and extremely large VLDL ratios
XXL_VLDL_TG,Triglycerides in chylomicrons and extremely large VLDL,mmol/l,Lipoprotein subclasses,Chylomicrons and extremely large VLDL
XXL_VLDL_TG_pct,Triglycerides to total lipids ratio in chylomicrons and extremely large VLDL,%,Relative lipoprotein lipid concentrations,Chylomicrons and extremely large VLDL ratios
